Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Afghanistan,AFG,..,..,16.6134779097919,17.2422638894206,17.5094188570492,17.0358776005124,17.0225200169416,17.4458279431472,17.2055580487587,16.912757482167,16.9951151794355,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Albania,ALB,2.33852143942509,42.0093170796519,43.8576795777798,43.6550990559766,44.1136711198315,42.8939996417697,42.6944390538413,42.6537942794049,41.3932778528647,41.250307033105,40.5665735661516,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Algeria,DZA,3.11954769662,15.7255995626523,29.475887298584,32.5932273864746,33.430347442627,34.0395240783691,35.0108299255371,37.1558265686035,38.8557510375977,40.8284922534754,39.8676829616357,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Angola,AGO,1.06300875915459E-08,2.09082142166263,64.6057510375977,65.6816711425781,66.0193710327148,65.0006713867188,68.1820449829102,80.7789688110352,92.9517211914063,117.203323936123,156.55023926674,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Antigua and Barbuda,ATG,1.75865160976358,1.74283227173851,1.69137668609619,1.82857131958008,1.85441470146179,1.914715051651,2.03954124450684,2.06004309654236,2.09350109100342,2.08951189754075,2.1052280478312,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Argentina,ARG,0.293642788482796,0.663416498388059,2.73312783241272,3.21815371513367,3.94096684455872,5.45196390151978,6.86654806137085,9.29496574401855,10.2568216323853,14.0989426598562,20.994993906183,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Armenia,ARM,0.00512600236840386,126.388788862778,163.650009155273,157.963836669922,159.846099853516,165.185897827148,172.923522949219,161.228881835938,155.970703125,156.622895422913,156.190422206196,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Aruba,ABW,0.94513143492128,1.15233411644274,1.30294060707092,1.31780135631561,1.28514099121094,1.30884277820587,1.36231791973114,1.35504460334778,1.35068964958191,..,..,..
