,Country Code,Country Name,Subject,Measure,Year,Unit,PowerCode,Value
2412,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1981,National currency,Millions,368358.0
2413,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1982,National currency,Millions,388181.0
2414,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1983,National currency,Millions,421316.0
2415,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1984,National currency,Millions,461986.0
2416,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1985,National currency,Millions,500027.0
2417,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1986,National currency,Millions,526630.0
2418,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1987,National currency,Millions,574336.0
2419,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1988,National currency,Millions,626894.0
2420,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1989,National currency,Millions,671579.0
2421,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1990,National currency,Millions,695501.0
2422,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1991,National currency,Millions,701773.0
2423,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1992,National currency,Millions,718436.0
2424,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1993,National currency,Millions,747037.0
2425,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1994,National currency,Millions,791972.0
2426,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1995,National currency,Millions,831621.0
2427,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1996,National currency,Millions,859834.0
2428,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1997,National currency,Millions,906926.0
2429,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1998,National currency,Millions,940548.0
2430,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",1999,National currency,Millions,1007927.0
2431,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2000,National currency,Millions,1106071.0
2432,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2001,National currency,Millions,1144543.0
2433,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2002,National currency,Millions,1193694.0
2434,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2003,National currency,Millions,1254747.0
2435,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2004,National currency,Millions,1335731.0
2436,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2005,National currency,Millions,1421590.0
2437,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2006,National currency,Millions,1496604.0
2438,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2007,National currency,Millions,1577661.0
2439,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2008,National currency,Millions,1657041.0
2440,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2009,National currency,Millions,1571334.0
2441,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2010,National currency,Millions,1666048.0
2442,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2011,National currency,Millions,1774063.0
2443,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2012,National currency,Millions,1827201.0
2444,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2013,National currency,Millions,1902247.0
2445,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2014,National currency,Millions,1994898.0
2446,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2015,National currency,Millions,1990441.0
2447,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2016,National currency,Millions,2025535.0
2448,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2017,National currency,Millions,2141107.0
2449,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2018,National currency,Millions,2223856.0
2450,CAN,Canada,Gross Domestic Product (GDP); millions,"National currency, current prices",2019,National currency,Millions,2303878.0
2462,CAN,Canada,GDP per head of population,"National currency, current prices",1981,National currency,Units,14841.227297
2463,CAN,Canada,GDP per head of population,"National currency, current prices",1982,National currency,Units,15454.946705
2464,CAN,Canada,GDP per head of population,"National currency, current prices",1983,National currency,Units,16609.181947
2465,CAN,Canada,GDP per head of population,"National currency, current prices",1984,National currency,Units,18041.35759
2466,CAN,Canada,GDP per head of population,"National currency, current prices",1985,National currency,Units,19349.305606
