PACIFIC Exchange Rate Service
MMM YYYY	AUD/USD
Jan 1991	1.28264
Feb 1991	1.27536
Mar 1991	1.29653
Apr 1991	1.28236
May 1991	1.29237
Jun 1991	1.31540
Jul 1991	1.29586
Aug 1991	1.27760
Sep 1991	1.25958
Oct 1991	1.26138
Nov 1991	1.27104
Dec 1991	1.29557
Jan 1992	1.33709
Feb 1992	1.32960
Mar 1992	1.31754
Apr 1992	1.31147
May 1992	1.32264
Jun 1992	1.32294
Jul 1992	1.34181
Aug 1992	1.38122
Sep 1992	1.38368
Oct 1992	1.39889
Nov 1992	1.44957
Dec 1992	1.44925
Jan 1993	1.48520
Feb 1993	1.46399
Mar 1993	1.41237
Apr 1993	1.40460
May 1993	1.43282
Jun 1993	1.48126
Jul 1993	1.47392
Aug 1993	1.47708
Sep 1993	1.53413
Oct 1993	1.51258
Nov 1993	1.50407
Dec 1993	1.48509
Jan 1994	1.43654
Feb 1994	1.39601
Mar 1994	1.40667
Apr 1994	1.39695
May 1994	1.37957
Jun 1994	1.36392
Jul 1994	1.36219
Aug 1994	1.35075
Sep 1994	1.34824
Oct 1994	1.35479
Nov 1994	1.32432
Dec 1994	1.29183
Jan 1995	1.30775
Feb 1995	1.34316
Mar 1995	1.36098
Apr 1995	1.35887
May 1995	1.37555
Jun 1995	1.38915
Jul 1995	1.37519
Aug 1995	1.34848
Sep 1995	1.32641
Oct 1995	1.32062
Nov 1995	1.34169
Dec 1995	1.34994
Jan 1996	1.34747
Feb 1996	1.32306
Mar 1996	1.29629
Apr 1996	1.27215
May 1996	1.25526
Jun 1996	1.26314
Jul 1996	1.26600
Aug 1996	1.27556
Sep 1996	1.26040
Oct 1996	1.26257
Nov 1996	1.25366
Dec 1996	1.25487
Jan 1997	1.28531
Feb 1997	1.30180
Mar 1997	1.26823
Apr 1997	1.28361
May 1997	1.29069
Jun 1997	1.32501
Jul 1997	1.34735
Aug 1997	1.34943
Sep 1997	1.38196
Oct 1997	1.38942
Nov 1997	1.43943
Dec 1997	1.50941
Jan 1998	1.52098
Feb 1998	1.48223
Mar 1998	1.49229
Apr 1998	1.53283
May 1998	1.58275
Jun 1998	1.65346
Jul 1998	1.61757
Aug 1998	1.69979
Sep 1998	1.69757
Oct 1998	1.61807
Nov 1998	1.57536
Dec 1998	1.61586
Jan 1999	1.58140
Feb 1999	1.56172
Mar 1999	1.58490
Apr 1999	1.55544
May 1999	1.50956
Jun 1999	1.52350
Jul 1999	1.52408
Aug 1999	1.55156
Sep 1999	1.53957
Oct 1999	1.53594
Nov 1999	1.56546
Dec 1999	1.56100
Jan 2000	1.52350
Feb 2000	1.59280
Mar 2000	1.64047
Apr 2000	1.67675
May 2000	1.72918
Jun 2000	1.68067
Jul 2000	1.70356
Aug 2000	1.72214
Sep 2000	1.81145
Oct 2000	1.89403
Nov 2000	1.91596
Dec 2000	1.83146
Jan 2001	1.80146
Feb 2001	1.87435
Mar 2001	1.98778
Apr 2001	1.99453
May 2001	1.92459
Jun 2001	1.92995
Jul 2001	1.96345
Aug 2001	1.90504
Sep 2001	1.98309
Oct 2001	1.98291
Nov 2001	1.93520
Dec 2001	1.94473
Jan 2002	1.93396
Feb 2002	1.94879
Mar 2002	1.90399
Apr 2002	1.86813
May 2002	1.81821
Jun 2002	1.75981
Jul 2002	1.80656
Aug 2002	1.84508
Sep 2002	1.82938
Oct 2002	1.81678
Nov 2002	1.78170
