PACIFIC Exchange Rate Service
MMM YYYY	CAD/USD
Jan 1971	1.01183
Feb 1971	1.00745
Mar 1971	1.00637
Apr 1971	1.00768
May 1971	1.00870
Jun 1971	1.02133
Jul 1971	1.02133
Aug 1971	1.01302
Sep 1971	1.01300
Oct 1971	1.00471
Nov 1971	1.00395
Dec 1971	0.99933
Jan 1972	1.00593
Feb 1972	1.00474
Mar 1972	0.99848
Apr 1972	0.99572
May 1972	0.98894
Jun 1972	0.97952
Jul 1972	0.98395
Aug 1972	0.98242
Sep 1972	0.98300
Oct 1972	0.98274
Nov 1972	0.98737
Dec 1972	0.99676
Jan 1973	0.99929
Feb 1973	0.99564
Mar 1973	0.99669
Apr 1973	1.00072
May 1973	1.00075
Jun 1973	0.99840
Jul 1973	0.99952
Aug 1973	1.00397
Sep 1973	1.00826
Oct 1973	1.00112
Nov 1973	0.99909
Dec 1973	0.99942
Jan 1974	0.99150
Feb 1974	0.97661
Mar 1974	0.97204
Apr 1974	0.96756
May 1974	0.96232
Jun 1974	0.96637
Jul 1974	0.97635
Aug 1974	0.97989
Sep 1974	0.98635
Oct 1974	0.98302
Nov 1974	0.98737
Dec 1974	0.98823
Jan 1975	0.99478
Feb 1975	1.00043
Mar 1975	1.00046
Apr 1975	1.01102
May 1975	1.02859
Jun 1975	1.02642
Jul 1975	1.03089
Aug 1975	1.03541
Sep 1975	1.02631
Oct 1975	1.02505
Nov 1975	1.01389
Dec 1975	1.01393
Jan 1976	1.00648
Feb 1976	0.99354
Mar 1976	0.98589
Apr 1976	0.98360
May 1976	0.98019
Jun 1976	0.97361
Jul 1976	0.97223
Aug 1976	0.98537
Sep 1976	0.97507
Oct 1976	0.97271
Nov 1976	0.98588
Dec 1976	1.01833
Jan 1977	1.01029
Feb 1977	1.02785
Mar 1977	1.05126
Apr 1977	1.05150
May 1977	1.04861
Jun 1977	1.05766
Jul 1977	1.06124
Aug 1977	1.07496
Sep 1977	1.07333
Oct 1977	1.09890
Nov 1977	1.10933
Dec 1977	1.09733
Jan 1978	1.10123
Feb 1978	1.11297
Mar 1978	1.12585
Apr 1978	1.14169
May 1978	1.11865
Jun 1978	1.12181
Jul 1978	1.12460
Aug 1978	1.14039
Sep 1978	1.16640
Oct 1978	1.18281
Nov 1978	1.17311
Dec 1978	1.17979
Jan 1979	1.18989
Feb 1979	1.19563
Mar 1979	1.17395
Apr 1979	1.14637
May 1979	1.15564
Jun 1979	1.17240
Jul 1979	1.16388
Aug 1979	1.17063
Sep 1979	1.16531
Oct 1979	1.17535
Nov 1979	1.17966
Dec 1979	1.16999
Jan 1980	1.16400
Feb 1980	1.15546
Mar 1980	1.17314
Apr 1980	1.18610
May 1980	1.17413
Jun 1980	1.15159
Jul 1980	1.15234
Aug 1980	1.15924
Sep 1980	1.16469
Oct 1980	1.16906
Nov 1980	1.18645
Dec 1980	1.19678
Jan 1981	1.19085
Feb 1981	1.19843
Mar 1981	1.19145
Apr 1981	1.19099
May 1981	1.20099
Jun 1981	1.20408
Jul 1981	1.21073
Aug 1981	1.22316
Sep 1981	1.20084
Oct 1981	1.20285
Nov 1981	1.18720
Dec 1981	1.18508
Jan 1982	1.19255
Feb 1982	1.21401
Mar 1982	1.22050
Apr 1982	1.22524
May 1982	1.23360
Jun 1982	1.27555
Jul 1982	1.26995
Aug 1982	1.24520
Sep 1982	1.23479
Oct 1982	1.23011
Nov 1982	1.22616
Dec 1982	1.23850
Jan 1983	1.22866
Feb 1983	1.22770
Mar 1983	1.22634
Apr 1983	1.23248
May 1983	1.22917
Jun 1983	1.23233
Jul 1983	1.23233
Aug 1983	1.23375
Sep 1983	1.23255
Oct 1983	1.23200
Nov 1983	1.23667
Dec 1983	1.24690
Jan 1984	1.24844
Feb 1984	1.24805
Mar 1984	1.26973
Apr 1984	1.27964
May 1984	1.29436
Jun 1984	1.30398
Jul 1984	1.32377
Aug 1984	1.30349
Sep 1984	1.31456
Oct 1984	1.31893
Nov 1984	1.31683
Dec 1984	1.32009
Jan 1985	1.32403
Feb 1985	1.35471
Mar 1985	1.38399
Apr 1985	1.36577
May 1985	1.37557
Jun 1985	1.36759
Jul 1985	1.35259
Aug 1985	1.35751
Sep 1985	1.37036
Oct 1985	1.36672
Nov 1985	1.37647
Dec 1985	1.39543
Jan 1986	1.40699
Feb 1986	1.40429
Mar 1986	1.40093
Apr 1986	1.38790
May 1986	1.37573
Jun 1986	1.38992
Jul 1986	1.38086
Aug 1986	1.38852
Sep 1986	1.38726
Oct 1986	1.38846
Nov 1986	1.38631
Dec 1986	1.38005
Jan 1987	1.36055
Feb 1987	1.33398
Mar 1987	1.31943
Apr 1987	1.31920
May 1987	1.34108
Jun 1987	1.33869
Jul 1987	1.32617
Aug 1987	1.32565
Sep 1987	1.31544
Oct 1987	1.30975
Nov 1987	1.31667
Dec 1987	1.30749
Jan 1988	1.28550
Feb 1988	1.26821
Mar 1988	1.24924
Apr 1988	1.23529
May 1988	1.23730
Jun 1988	1.21765
Jul 1988	1.20752
Aug 1988	1.22364
Sep 1988	1.22668
Oct 1988	1.20552
Nov 1988	1.21860
Dec 1988	1.19624
Jan 1989	1.19134
Feb 1989	1.18909
Mar 1989	1.19537
Apr 1989	1.18877
May 1989	1.19250
Jun 1989	1.19856
Jul 1989	1.18913
Aug 1989	1.17577
Sep 1989	1.18280
Oct 1989	1.17491
Nov 1989	1.16975
Dec 1989	1.16134
Jan 1990	1.17204
Feb 1990	1.19648
Mar 1990	1.17999
Apr 1990	1.16409
May 1990	1.17471
Jun 1990	1.17305
Jul 1990	1.15702
Aug 1990	1.14481
Sep 1990	1.15834
Oct 1990	1.16001
Nov 1990	1.16348
Dec 1990	1.16026
Jan 1991	1.15590
Feb 1991	1.15459
Mar 1991	1.15701
Apr 1991	1.15331
May 1991	1.14964
Jun 1991	1.14374
Jul 1991	1.14885
Aug 1991	1.14497
Sep 1991	1.13681
Oct 1991	1.12790
Nov 1991	1.13033
Dec 1991	1.14649
Jan 1992	1.15648
Feb 1992	1.18253
Mar 1992	1.19263
Apr 1992	1.18730
May 1992	1.19897
Jun 1992	1.19587
Jul 1992	1.19213
Aug 1992	1.19055
Sep 1992	1.22228
Oct 1992	1.24503
Nov 1992	1.26796
Dec 1992	1.27222
Jan 1993	1.27755
Feb 1993	1.25974
Mar 1993	1.24687
Apr 1993	1.26190
May 1993	1.26971
Jun 1993	1.27862
Jul 1993	1.28203
Aug 1993	1.30779
Sep 1993	1.32116
Oct 1993	1.32612
Nov 1993	1.31773
Dec 1993	1.33052
Jan 1994	1.31727
Feb 1994	1.34208
Mar 1994	1.36430
Apr 1994	1.38278
May 1994	1.38087
Jun 1994	1.38378
Jul 1994	1.38248
Aug 1994	1.37803
Sep 1994	1.35372
Oct 1994	1.35001
Nov 1994	1.36491
Dec 1994	1.38900
Jan 1995	1.41290
Feb 1995	1.40052
Mar 1995	1.40736
Apr 1995	1.37551
May 1995	1.36102
Jun 1995	1.37720
Jul 1995	1.36141
Aug 1995	1.35504
Sep 1995	1.35074
