PACIFIC Exchange Rate Service
MMM YYYY	GBP/USD
Jan 1971	0.41568
Feb 1971	0.41361
Mar 1971	0.41344
Apr 1971	0.41358
May 1971	0.41343
Jun 1971	0.41342
Jul 1971	0.41348
Aug 1971	0.41076
Sep 1971	0.40497
Oct 1971	0.40167
Nov 1971	0.40107
Dec 1971	0.39582
Jan 1972	0.38906
Feb 1972	0.38409
Mar 1972	0.38198
Apr 1972	0.38311
May 1972	0.38279
Jun 1972	0.38941
Jul 1972	0.40905
Aug 1972	0.40812
Sep 1972	0.40965
Oct 1972	0.41765
Nov 1972	0.42525
Dec 1972	0.42647
Jan 1973	0.42441
Feb 1973	0.41209
Mar 1973	0.40448
Apr 1973	0.40261
May 1973	0.39521
Jun 1973	0.38816
Jul 1973	0.39414
Aug 1973	0.40397
Sep 1973	0.41351
Oct 1973	0.41168
Nov 1973	0.41902
Dec 1973	0.43152
Jan 1974	0.44978
Feb 1974	0.43964
Mar 1974	0.42731
Apr 1974	0.41869
May 1974	0.41432
Jun 1974	0.41839
Jul 1974	0.41849
Aug 1974	0.42637
Sep 1974	0.43168
Oct 1974	0.42864
Nov 1974	0.43009
Dec 1974	0.42931
Jan 1975	0.42334
Feb 1975	0.41743
Mar 1975	0.41358
Apr 1975	0.42185
May 1975	0.43096
Jun 1975	0.43862
Jul 1975	0.45778
Aug 1975	0.47298
Sep 1975	0.48007
Oct 1975	0.48620
Nov 1975	0.48821
Dec 1975	0.49455
Jan 1976	0.49296
Feb 1976	0.49354
Mar 1976	0.51494
Apr 1976	0.54166
May 1976	0.55321
Jun 1976	0.56697
Jul 1976	0.56023
Aug 1976	0.56091
Sep 1976	0.57928
Oct 1976	0.61082
Nov 1976	0.61057
Dec 1976	0.59585
Jan 1977	0.58397
Feb 1977	0.58469
Mar 1977	0.58227
Apr 1977	0.58172
May 1977	0.58193
Jun 1977	0.58169
Jul 1977	0.58053
Aug 1977	0.57483
Sep 1977	0.57366
Oct 1977	0.56467
Nov 1977	0.55013
Dec 1977	0.53934
Jan 1978	0.51676
Feb 1978	0.51557
Mar 1978	0.52490
Apr 1978	0.54071
May 1978	0.55004
Jun 1978	0.54432
Jul 1978	0.52780
