PACIFIC Exchange Rate Service
MMM YYYY	CHF/USD
Jan 1971	4.30530
Feb 1971	4.29806
Mar 1971	4.30026
Apr 1971	4.29860
May 1971	4.12411
Jun 1971	4.09382
Jul 1971	4.09459
Aug 1971	4.03058
Sep 1971	3.98121
Oct 1971	3.97507
Nov 1971	3.98350
Dec 1971	3.90412
Jan 1972	3.89227
Feb 1972	3.86116
Mar 1972	3.85676
Apr 1972	3.85091
May 1972	3.86051
Jun 1972	3.79974
Jul 1972	3.76496
Aug 1972	3.78087
Sep 1972	3.78742
Oct 1972	3.79768
Nov 1972	3.79556
Dec 1972	3.77001
Jan 1973	3.72935
Feb 1973	3.41701
Mar 1973	3.21712
Apr 1973	3.24060
May 1973	3.17280
Jun 1973	3.05317
Jul 1973	2.82336
Aug 1973	2.97337
Sep 1973	3.01698
Oct 1973	3.02889
Nov 1973	3.16472
Dec 1973	3.20000
Jan 1974	3.36441
Feb 1974	3.17633
Mar 1974	3.07876
Apr 1974	3.02699
May 1974	2.91725
Jun 1974	2.98988
Jul 1974	2.96420
Aug 1974	2.98462
Sep 1974	2.99670
Oct 1974	2.89657
Nov 1974	2.75029
Dec 1974	2.60282
Jan 1975	2.52784
Feb 1975	2.47312
Mar 1975	2.48354
Apr 1975	2.55893
May 1975	2.50961
Jun 1975	2.49464
Jul 1975	2.61422
Aug 1975	2.67872
Sep 1975	2.70988
Oct 1975	2.66309
Nov 1975	2.65378
Dec 1975	2.63371
Jan 1976	2.60300
Feb 1976	2.57001
Mar 1976	2.56564
Apr 1976	2.52965
May 1976	2.48736
Jun 1976	2.47043
Jul 1976	2.48500
Aug 1976	2.48129
Sep 1976	2.47334
Oct 1976	2.44647
Nov 1976	2.44155
Dec 1976	2.44959
Jan 1977	2.49240
Feb 1977	2.52090
Mar 1977	2.55048
Apr 1977	2.52645
May 1977	2.51932
Jun 1977	2.48945
Jul 1977	2.41052
Aug 1977	2.40844
Sep 1977	2.37452
Oct 1977	2.27801
Nov 1977	2.19775
Dec 1977	2.07719
Jan 1978	1.98634
Feb 1978	1.90948
Mar 1978	1.89855
Apr 1978	1.90522
May 1978	1.96522
Jun 1978	1.88540
Jul 1978	1.80401
Aug 1978	1.66717
Sep 1978	1.56971
Oct 1978	1.53647
Nov 1978	1.67497
Dec 1978	1.67566
Jan 1979	1.67136
Feb 1979	1.67518
Mar 1979	1.68146
Apr 1979	1.71768
May 1979	1.72733
Jun 1979	1.69895
Jul 1979	1.64888
Aug 1979	1.65704
Sep 1979	1.61132
Oct 1979	1.63086
Nov 1979	1.64292
Dec 1979	1.59900
Jan 1980	1.59529
Feb 1980	1.64062
Mar 1980	1.76429
Apr 1980	1.76144
May 1980	1.66315
Jun 1980	1.63385
Jul 1980	1.60781
Aug 1980	1.65222
Sep 1980	1.63909
Oct 1980	1.66191
Nov 1980	1.72595
Dec 1980	1.78537
Jan 1981	1.82236
Feb 1981	1.94219
Mar 1981	1.92194
Apr 1981	1.97398
May 1981	2.06623
Jun 1981	2.07415
Jul 1981	2.09810
Aug 1981	2.16982
Sep 1981	2.02226
Oct 1981	1.88444
Nov 1981	1.78586
Dec 1981	1.81513
Jan 1982	1.84425
Feb 1982	1.89092
Mar 1982	1.88860
Apr 1982	1.96239
May 1982	1.95000
Jun 1982	2.07883
Jul 1982	2.09599
Aug 1982	2.11193
Sep 1982	2.14179
Oct 1982	2.17365
Nov 1982	2.19311
Dec 1982	2.04808
Jan 1983	1.96788
Feb 1983	2.01799
Mar 1983	2.06628
Apr 1983	2.05872
May 1983	2.05723
Jun 1983	2.11231
Jul 1983	2.11837
Aug 1983	2.16318
Sep 1983	2.16230
Oct 1983	2.11224
Nov 1983	2.17007
Dec 1983	2.19832
Jan 1984	2.23803
Feb 1984	2.20504
Mar 1984	2.14898
Apr 1984	2.19136
May 1984	2.26802
Jun 1984	2.28327
Jul 1984	2.41148
Aug 1984	2.41494
Sep 1984	2.50500
Oct 1984	2.52446
Nov 1984	2.47003
Dec 1984	2.56020
Jan 1985	2.65904
Feb 1985	2.80448
Mar 1985	2.80329
Apr 1985	2.59482
May 1985	2.61494
Jun 1985	2.57212
Jul 1985	2.40605
Aug 1985	2.29613
Sep 1985	2.33597
Oct 1985	2.16921
Nov 1985	2.13060
Dec 1985	2.10417
Jan 1986	2.06599
Feb 1986	1.95469
Mar 1986	1.91500
Apr 1986	1.90165
May 1986	1.85380
Jun 1986	1.84061
Jul 1986	1.74451
Aug 1986	1.66164
Sep 1986	1.65375
Oct 1986	1.64331
Nov 1986	1.68580
Dec 1986	1.66464
Jan 1987	1.56155
Feb 1987	1.54032
Mar 1987	1.53909
Apr 1987	1.49586
May 1987	1.47048
Jun 1987	1.50850
Jul 1987	1.53652
Aug 1987	1.53641
Sep 1987	1.50290
Oct 1987	1.49403
Nov 1987	1.38249
Dec 1987	1.33037
Jan 1988	1.34659
Feb 1988	1.39162
Mar 1988	1.38637
Apr 1988	1.38226
May 1988	1.41107
Jun 1988	1.46292
Jul 1988	1.53433
Aug 1988	1.58365
Sep 1988	1.57636
Oct 1988	1.53723
Nov 1988	1.46755
Dec 1988	1.47988
Jan 1989	1.56191
Feb 1989	1.57399
Mar 1989	1.61103
Apr 1989	1.64687
May 1989	1.72899
Jun 1989	1.70887
Jul 1989	1.62804
Aug 1989	1.66045
Sep 1989	1.68654
Oct 1989	1.63022
Nov 1989	1.61895
Dec 1989	1.56859
Jan 1990	1.51750
Feb 1990	1.48792
Mar 1990	1.51335
Apr 1990	1.48661
May 1990	1.41984
Jun 1990	1.42502
Jul 1990	1.39235
Aug 1990	1.30763
Sep 1990	1.30690
Oct 1990	1.28179
Nov 1990	1.25690
Dec 1990	1.28141
Jan 1991	1.26998
Feb 1991	1.26826
Mar 1991	1.39126
Apr 1991	1.43967
May 1991	1.45614
Jun 1991	1.52922
Jul 1991	1.54927
Aug 1991	1.52002
Sep 1991	1.47982
Oct 1991	1.47755
Nov 1991	1.43437
Dec 1991	1.38523
Jan 1992	1.40359
Feb 1992	1.45600
Mar 1992	1.50904
Apr 1992	1.51920
May 1992	1.49047
Jun 1992	1.42477
Jul 1992	1.33430
Aug 1992	1.29607
Sep 1992	1.27735
Oct 1992	1.31670
Nov 1992	1.42852
Dec 1992	1.42162
Jan 1993	1.47721
Feb 1993	1.51875
Mar 1993	1.52012
Apr 1993	1.45918
May 1993	1.44853
Jun 1993	1.47664
Jul 1993	1.51446
Aug 1993	1.49652
Sep 1993	1.41735
Oct 1993	1.44275
Nov 1993	1.49688
Dec 1993	1.46293
Jan 1994	1.47178
Feb 1994	1.45649
Mar 1994	1.42895
Apr 1994	1.43809
May 1994	1.41191
Jun 1994	1.37242
