PACIFIC Exchange Rate Service
MMM YYYY	CNY/USD
Jan 1993	5.7781
Feb 1993	5.7867
Mar 1993	5.7445
Apr 1993	5.7195
May 1993	5.7384
Jun 1993	5.7490
Jul 1993	5.7750
Aug 1993	5.7896
Sep 1993	5.8002
Oct 1993	5.8005
Nov 1993	5.8074
Dec 1993	5.8199
Jan 1994	8.7213
Feb 1994	8.7235
Mar 1994	8.7233
Apr 1994	8.7237
May 1994	8.6847
Jun 1994	8.6845
Jul 1994	8.6589
Aug 1994	8.6054
Sep 1994	8.5563
Oct 1994	8.5476
Nov 1994	8.5356
Dec 1994	8.5103
Jan 1995	8.4591
Feb 1995	8.4539
Mar 1995	8.4463
Apr 1995	8.4379
May 1995	8.3357
Jun 1995	8.3187
Jul 1995	8.3190
Aug 1995	8.3242
Sep 1995	8.3362
Oct 1995	8.3333
Nov 1995	8.3305
Dec 1995	8.3336
Jan 1996	8.3365
Feb 1996	8.3148
Mar 1996	8.3290
Apr 1996	8.3333
May 1996	8.3307
Jun 1996	8.3218
Jul 1996	8.3164
Aug 1996	8.3077
Sep 1996	8.3046
Oct 1996	8.2993
Nov 1996	8.2997
Dec 1996	8.2995
Jan 1997	8.2957
Feb 1997	8.2927
Mar 1997	8.2961
Apr 1997	8.2954
May 1997	8.2931
Jun 1997	8.2915
Jul 1997	8.2915
Aug 1997	8.2895
Sep 1997	8.2875
Oct 1997	8.2841
Nov 1997	8.2811
Dec 1997	8.2797
Jan 1998	8.2793
Feb 1998	8.2787
Mar 1998	8.2796
Apr 1998	8.2787
May 1998	8.2789
Jun 1998	8.2799
Jul 1998	8.2794
Aug 1998	8.2798
Sep 1998	8.2792
Oct 1998	8.2779
Nov 1998	8.2779
Dec 1998	8.2784
Jan 1999	8.2779
Feb 1999	8.2784
Mar 1999	8.2784
Apr 1999	8.2781
May 1999	8.2782
Jun 1999	8.2781
Jul 1999	8.2778
Aug 1999	8.2783
Sep 1999	8.2779
Oct 1999	8.2783
Nov 1999	8.2760
Dec 1999	8.2778
Jan 2000	8.2782
Feb 2000	8.2778
Mar 2000	8.2783
Apr 2000	8.2779
May 2000	8.2776
Jun 2000	8.2770
Jul 2000	8.2798
Aug 2000	8.2795
Sep 2000	8.2785
Oct 2000	8.2786
Nov 2000	8.2780
Dec 2000	8.2770
Jan 2001	8.2773
Feb 2001	8.2773
Mar 2001	8.2779
Apr 2001	8.2770
May 2001	8.2775
Jun 2001	8.2766
Jul 2001	8.2767
Aug 2001	8.2768
Sep 2001	8.2771
Oct 2001	8.2771
Nov 2001	8.2768
Dec 2001	8.2770
Jan 2002	8.2760
Feb 2002	8.2768
Mar 2002	8.2770
Apr 2002	8.2772
May 2002	8.2769
Jun 2002	8.2769
Jul 2002	8.2765
Aug 2002	8.2766
Sep 2002	8.2763
Oct 2002	8.2772
Nov 2002	8.2771
Dec 2002	8.2773
Jan 2003	8.2772
Feb 2003	8.2780
Mar 2003	8.2770
Apr 2003	8.2774
May 2003	8.2769
Jun 2003	8.2770
Jul 2003	8.2771
Aug 2003	8.2774
Sep 2003	8.2765
Oct 2003	8.2771
Nov 2003	8.2777
Dec 2003	8.2769
Jan 2004	8.2763
Feb 2004	8.2773
Mar 2004	8.2768
Apr 2004	8.2773
May 2004	8.2770
Jun 2004	8.2766
Jul 2004	8.2764
Aug 2004	8.2772
Sep 2004	8.2766
Oct 2004	8.2762
Nov 2004	8.2760
Dec 2004	8.2758
Jan 2005	8.2765
Feb 2005	8.2763
Mar 2005	8.2771
