PACIFIC Exchange Rate Service
MMM YYYY	INR/USD
Jan 1993	29.036
Feb 1993	30.038
Mar 1993	31.934
Apr 1993	31.606
May 1993	31.608
Jun 1993	31.661
Jul 1993	31.597
Aug 1993	31.607
Sep 1993	31.570
Oct 1993	31.501
Nov 1993	31.427
Dec 1993	31.434
Jan 1994	31.438
Feb 1994	31.444
Mar 1994	31.412
Apr 1994	31.387
May 1994	31.371
Jun 1994	31.388
Jul 1994	31.370
Aug 1994	31.366
Sep 1994	31.365
Oct 1994	31.367
Nov 1994	31.389
Dec 1994	31.383
Jan 1995	31.367
Feb 1995	31.374
Mar 1995	31.579
Apr 1995	31.392
May 1995	31.413
Jun 1995	31.397
Jul 1995	31.379
Aug 1995	31.588
Sep 1995	33.305
Oct 1995	34.648
Nov 1995	34.706
Dec 1995	34.960
Jan 1996	35.806
Feb 1996	36.524
Mar 1996	34.318
Apr 1996	34.208
May 1996	34.905
Jun 1996	34.722
Jul 1996	35.246
Aug 1996	35.426
Sep 1996	35.487
Oct 1996	35.483
Nov 1996	35.589
Dec 1996	35.753
Jan 1997	35.810
Feb 1997	35.822
Mar 1997	35.819
Apr 1997	35.764
May 1997	35.779
Jun 1997	35.765
Jul 1997	35.686
Aug 1997	35.871
Sep 1997	36.334
Oct 1997	36.186
Nov 1997	37.191
Dec 1997	39.115
Jan 1998	39.104
Feb 1998	38.809
Mar 1998	39.457
Apr 1998	39.583
May 1998	40.340
Jun 1998	42.130
Jul 1998	42.450
Aug 1998	42.666
Sep 1998	42.446
Oct 1998	42.251
Nov 1998	42.334
Dec 1998	42.551
Jan 1999	42.496
Feb 1999	42.476
Mar 1999	42.440
Apr 1999	42.726
May 1999	42.785
Jun 1999	43.100
Jul 1999	43.290
Aug 1999	43.456
Sep 1999	43.526
Oct 1999	43.467
Nov 1999	43.391
Dec 1999	43.457
Jan 2000	43.536
Feb 2000	43.603
Mar 2000	43.583
Apr 2000	43.634
May 2000	44.005
Jun 2000	44.685
Jul 2000	44.772
Aug 2000	45.685
Sep 2000	45.873
Oct 2000	46.354
Nov 2000	46.768
Dec 2000	46.737
Jan 2001	46.538
Feb 2001	46.510
Mar 2001	46.604
Apr 2001	46.739
May 2001	46.905
Jun 2001	47.002
Jul 2001	47.132
Aug 2001	47.121
Sep 2001	47.652
Oct 2001	48.006
Nov 2001	47.993
Dec 2001	47.881
Jan 2002	48.296
Feb 2002	48.658
Mar 2002	48.713
Apr 2002	48.889
May 2002	48.963
Jun 2002	48.933
Jul 2002	48.740
Aug 2002	48.559
Sep 2002	48.409
Oct 2002	48.345
Nov 2002	48.237
Dec 2002	48.106
Jan 2003	47.901
Feb 2003	47.704
Mar 2003	47.619
Apr 2003	47.344
May 2003	47.061
Jun 2003	46.650
Jul 2003	46.166
Aug 2003	45.906
Sep 2003	45.803
Oct 2003	45.361
Nov 2003	45.531
Dec 2003	45.546
Jan 2004	45.412
Feb 2004	45.234
Mar 2004	44.943
Apr 2004	43.872
May 2004	45.150
Jun 2004	45.471
Jul 2004	46.019
Aug 2004	46.296
Sep 2004	46.019
Oct 2004	45.741
Nov 2004	45.062
Dec 2004	43.896
Jan 2005	43.656
Feb 2005	43.622
Mar 2005	43.634
Apr 2005	43.688
May 2005	43.453
Jun 2005	43.556
Jul 2005	43.475
Aug 2005	43.593
Sep 2005	43.874
Oct 2005	44.791
Nov 2005	45.668
Dec 2005	45.606
Jan 2006	44.209
Feb 2006	44.247
Mar 2006	44.351
Apr 2006	44.831
May 2006	45.239
Jun 2006	45.911
Jul 2006	46.381
Aug 2006	46.456
Sep 2006	45.990
Oct 2006	45.359
Nov 2006	44.730
Dec 2006	44.503
Jan 2007	44.205
Feb 2007	44.018
Mar 2007	43.786
Apr 2007	42.008
May 2007	40.573
Jun 2007	40.581
Jul 2007	40.293
Aug 2007	40.712
Sep 2007	40.131
Oct 2007	39.399
Nov 2007	39.347
Dec 2007	39.363
Jan 2008	39.270
Feb 2008	39.681
Mar 2008	40.198
Apr 2008	39.982
May 2008	42.035
Jun 2008	42.764
Jul 2008	42.758
Aug 2008	42.966
Sep 2008	45.538
Oct 2008	48.505
Nov 2008	48.875
Dec 2008	48.540
Jan 2009	48.711
Feb 2009	49.239
Mar 2009	51.142
Apr 2009	49.974
May 2009	48.517
Jun 2009	47.700
Jul 2009	48.401
Aug 2009	48.294
Sep 2009	48.310
Oct 2009	46.675
Nov 2009	46.558
Dec 2009	46.545
Jan 2010	45.903
Feb 2010	46.292
Mar 2010	45.466
Apr 2010	44.437
May 2010	45.758
Jun 2010	46.527
Jul 2010	46.796
Aug 2010	46.539
Sep 2010	45.888
Oct 2010	44.370
Nov 2010	44.989
Dec 2010	45.088
Jan 2011	45.434
Feb 2011	45.374
Mar 2011	44.925
Apr 2011	44.341
May 2011	44.902
Jun 2011	44.807
Jul 2011	44.397
Aug 2011	45.377
Sep 2011	47.699
Oct 2011	49.216
Nov 2011	50.753
Dec 2011	52.389
Jan 2012	51.029
Feb 2012	49.183
Mar 2012	50.370
Apr 2012	51.732
May 2012	54.289
Jun 2012	55.963
Jul 2012	55.392
Aug 2012	55.505
Sep 2012	54.408
Oct 2012	53.069
Nov 2012	54.798
Dec 2012	54.625
Jan 2013	54.210
Feb 2013	53.819
Mar 2013	54.421
Apr 2013	54.324
May 2013	55.009
Jun 2013	58.410
Jul 2013	59.810
Aug 2013	62.937
Sep 2013	63.683
Oct 2013	61.607
Nov 2013	62.525
Dec 2013	61.812
Jan 2014	62.098
Feb 2014	62.215
Mar 2014	60.968
Apr 2014	60.355
May 2014	59.351
Jun 2014	59.742
Jul 2014	60.064
Aug 2014	60.830
Sep 2014	60.898
Oct 2014	61.355
Nov 2014	61.701
Dec 2014	62.720
Jan 2015	62.125
Feb 2015	61.992
Mar 2015	62.489
Apr 2015	62.680
May 2015	63.707
Jun 2015	63.784
Jul 2015	63.607
Aug 2015	65.163
Sep 2015	66.179
Oct 2015	65.029
Nov 2015	66.131
Dec 2015	66.530
Jan 2016	67.357
Feb 2016	68.252
Mar 2016	66.901
Apr 2016	66.439
May 2016	66.884
Jun 2016	67.274
Jul 2016	67.176
Aug 2016	66.923
Sep 2016	66.731
Oct 2016	66.753
Nov 2016	67.705
Dec 2016	67.809
"(C) 2019 Prof. Werner Antweiler, UBC"
